Name,Type,targets,damage,recovery,patk,matk,pdef,mdef,Elemental
Staff of Retrogression,STAFF,2,0,1.5,0,0,0,0,FIRE
Staff of Submission,STAFF,1,0,2.25,0,0,0,0,FIRE
Staff of Succession,STAFF,2,0,2.25,0,0,0,0,WATER
Staff of the Wise,STAFF,1.5,0,1.35,0,0,0,0,WIND
Steel Flute,HARP,2,0,0,0,0,0,1.2,WATER
Steel Star,HAMMER,1.5,1.5,1.2,0,0,0,0,WIND
Straw Puppet,ORB,1.5,1.7,0,0,0,0,0,FIRE
Strongman's Hammer,HAMMER,1.5,1.4,0,0,0,0,0,FIRE
Study of Yggdrasil,TOME,2,0,0,0,0,0.58,0.58,WATER
Substitute Bow,BOW,1,2.7,0,0,0,0,0,WIND
Sweet Release Cake,ORB,1.5,2.1,0,0,0.3,0,0,WIND
Sweet Release Gun,BOW,1,2.5,0,0,0,0,0.5,FIRE
Sweet Release Harp,HARP,1,0,0,0,0,1.66,1.66,WATER
Sword of Bondage,SWORD,1,2.7,0,0,0,0,0,WATER
Sword of Burned Metal,SWORD,1,2.5,0,0,0,0.5,0,FIRE
Sword of Delusion,SWORD,1,2.5,0,0.3,0,0,0,WIND
Sword of Humility,SWORD,1,2.5,1.2,0,0,0,0,WATER
Sword of Languor,SWORD,1,2.5,0,0.3,0,0,0,WATER
Sword of Love and Hate,SWORD,1,2.5,1.2,0,0,0,0,WATER
Sword of Memory,SWORD,1,1.6,0,0,0,0,0,WIND
Sword of Misery,SWORD,1,1.8,1.2,0,0,0,0,WATER
Sword of Necessary Evil,SWORD,1,1.6,0,0,0,0,0,FIRE
Sword of Revenge,SWORD,1,2,0,0.3,0,0,0,FIRE
Sword of Ripples,SWORD,1,2.5,0,0.3,0,0,0,WATER
Sword of Sacrifice,SWORD,1,1.6,0,0,0,0,0,WATER
Sword of Suppression,SWORD,1,2.7,0,0,0,0,0,WIND
Swordsmith's Spellbook,SWORD,1,2.7,0,0,0,0,0,FIRE
Sympathetic Blade,SWORD,1,2.5,1.2,0,0,0,0,WIND
Tale of The Phoenix,TOME,1.5,0,0,0,0,0,1.5,FIRE
Tear Jar,ORB,1.5,2.1,0,0,0,0,0.5,WATER
The Bard and the Fairy,HARP,1,0,0,0.54,0.54,0,0,WIND
The Destroyer,BOW,1,2.7,0,0,0,0,0,WATER
The Emperor's Hegemony,HAMMER,1.5,2.1,0,0,0,0.5,0,WATER
The Lord's Hammer,HAMMER,1.5,2.3,0,0,0,0,0,WATER
The Lost Spear,SPEAR,1.5,1.7,0,0,0,0,0,WATER
The Wolf's Offering,SPEAR,1.5,1.4,0,0,0,0,0,FIRE
Thirst for War,SPEAR,1.5,1.5,1.2,0,0,0,0,FIRE
Thorn of Brutality,SPEAR,1.5,2.1,0,0,0.3,0,0,FIRE
Time Remaining,ORB,1.5,2.3,0,0,0,0,0,WIND
Tome of Absolution,TOME,1,0,0,0,1.05,0,0,FIRE
Tome of Bondage,TOME,1.5,0,0,0,0,1.5,0,FIRE
Tome of Dependence,TOME,1,0,0,0.7,0.7,0,0,FIRE
Tome of Ice,TOME,2,0,0,0,0.66,0,0,WATER
Tome of Visions,TOME,1,0,0,0.54,0.54,0,0,WATER
Torture Doctrine,TOME,1,0,0,0,0,1.24,1.24,WATER
Torus Spear,SPEAR,1.5,1.5,0,0,0.3,0,0,WATER
Tracker's Bow,BOW,1,2.7,0,0,0,0,0,FIRE
Tragedy of the Wicked,SWORD,1,1.6,0,0,0,0,0,WIND
Tunnel Treasure Chest,ORB,1.5,1.4,0,0,0,0,0,FIRE
Turbulent Mace,HAMMER,1.5,2.1,0,0,0,0.5,0.5,WATER
Twilight Glow,HARP,2,0,0,0,0,0.72,0.72,WATER
Type-3 Lance,SPEAR,1.5,1.7,0,0,0,0,0,WATER
Type-40 Blade,SWORD,1,2.7,0,0,0,0,0,WATER
Underworld's Elegy,HARP,1.5,0,0,0,0.9,0,0,FIRE
Unjustified Resentment,BOW,1,2,0,0,0,0,0,WIND
Usumidori,HAMMER,1.5,2.1,0,0.3,0.3,0,0,FIRE
Veteran's Cannon,BOW,1,2.5,0,0,0.3,0,0,WATER
Veteran's Mallet,HAMMER,1.5,1.5,0,0.3,0,0,0,FIRE
Vigilante's Pride,BOW,1,1.6,0,0,0,0,0,WATER
Vile Axe,HAMMER,1.5,1.7,0,0,0,0,0,WIND
Villain's Book,TOME,1.5,0,0,0,0.9,0,0,WATER
Violin of Bondage,HARP,1,0,0,1.06,0,0,0,FIRE
Violin of Justice,HARP,1,0,0,0.96,0.96,0,0,WIND
Violin of Zeal,HARP,1.5,0,0,0,0,0,0,FIRE
Virgin's Spinal Fluid,ORB,1.5,2.1,0,0,0.3,0,0,WATER
Virtuous Contract,SWORD,1,2.5,1.2,0,0,0,0,WATER
Voltage Dictionary,TOME,1.5,0,0,0,0,1.36,1.36,WIND
Waking Nightmare,HAMMER,1.5,1.7,0,0,0,0,0,WIND
War Axe of Wicked Love,HAMMER,1.5,2.1,0,0.3,0,0,0,FIRE
War Song's Echo,HARP,1,0,0,0.7,0.7,0,0,FIRE
Warden's Mallet,HAMMER,1.5,2.3,0,0,0,0,0,FIRE
Water Emperor's Staff,STAFF,1,0,2.25,0,0,0,0,WATER
Waterfowl Bow,BOW,1,1.6,0,0,0,0,0,WATER
Waterway Sword,SWORD,1,2,0,0,0,0,0,WATER
Weapon of the Apocalypse,SPEAR,1.5,2.3,0,0,0,0,0,WATER
Werewolf's Lie,BOW,1,2,0,0,0,0,0,WATER
Wheel of Brutality,SWORD,1,1.8,1.2,0,0,0,0,WATER
Wheel of Perpetuity,ORB,1.5,1.7,0,0,0,0,0,WATER
White Bow of Justice,BOW,1,2.5,0,0,0,0,0.5,FIRE
White Lightning Staff,STAFF,1,0,1.8,0,0,0,0,WIND
White Staff of Justice,STAFF,1.5,0,2.33,0,0,0,0,WATER
White Tome,TOME,1,0,0,0.54,0.54,0,0,WIND
Whitecap Bow,BOW,1,2.7,0,0,0,0,0,WATER
Wild Rose Harp,HARP,2,0,0,0,0,0.72,0.72,WIND
Wind King's Gale,BOW,1,2.5,0,0,0,0,0.5,WIND
Winged Darkness,SPEAR,1.5,2.1,0,0,0.3,0,0,WATER
Wiseman's Notes,TOME,1,0,0,0,0,1.24,1.24,WIND
Wolf Strings of Depravity,HARP,1.5,0,0,0.98,0.98,0,0,WIND
Wreath of Dependence,HARP,1.5,0,0,0.9,0,0,0,WATER
Zealot's Grudge,ORB,1.5,1.4,0,0,0,0,0,WIND
Zweihänder of Justice,SWORD,1,2.5,0,0.3,0,0,0,WATER
